country;WBcode;ICRGname;ICSIDname;ICSID2name;ICSIDalt
Albania;ALB;Albania;Republic of Albania;Albanian;
Algeria;DZA;Algeria;People's Democratic Republic of Algeria;;
Angola;AGO;Angola;;;
Argentina;ARG;Argentina;Argentine Republic;Argentina;
Armenia;ARM;Armenia;Republic of Armenia;;
Australia;AUS;Australia;;Australian;
Austria;AUT;Austria;;Austrian;
Azerbaijan;AZE;Azerbaijan;Republic of Azerbaijan;;
Bangladesh;BGD;Bangladesh;People's Republic of Bangladesh;Bangladesh;
Belgium;BEL;Belgium;Kingdom of Belgium;Belgian;
Bolivia;BOL;Bolivia;Plurinational State of Bolivia;Bolivian;Republic of Bolivia
Botswana;BWA;Botswana;;;
Brazil;BRA;Brazil;;;
Bulgaria;BGR;Bulgaria;Republic of Bulgaria;Bulgarian;
Burkina Faso;BFA;Burkina Faso;;;
Burundi;BDI;;Republic of Burundi;Burundi;
Cameroon;CMR;Cameroon;Republic of Cameroon;;
Canada;CAN;Canada;;Canadian;
Chile;CHL;Chile;Republic of Chile;Chilean;
China;CHN;China;People's Republic of China;Chinese;
Colombia;COL;Colombia;;;
Congo, Democratic Republic;ZAR;Congo, DR;Democratic Republic of the Congo;Congolese D.R.;
Congo, Republic;COG;Congo;People's Republic of the Congo;Congo;Republic of Congo
Costa Rica;CRI;Costa Rica;Republic of Costa Rica;Costa Rican;
Côte d'Ivoire;CIV;Cote d'Ivoire;;;
Croatia;HRV;Croatia;Republic of Croatia;Croatian;
Czech Republic;CZE;Czech Republic;;Czech;
Denmark;DNK;Denmark;;Danish;
Dominican Republic;DOM;Dominican Republic;;;
Ecuador;ECU;Ecuador;Republic of Ecuador;Ecuadoran;
Egypt;EGY;Egypt;Arab Republic of Egypt;Egyptian;
El Salvador;SLV;El Salvador;Republic of El Salvador;;
Equatorial Guinea;GNQ;;Republic of Equatorial Guinea;Equatorial Guinean;
Estonia;EST;Estonia;Republic of Estonia;Estonian;
Ethiopia;ETH;Ethiopia;;;
Finland;FIN;Finland;;Finnish;
France;FRA;France;French Republic;French;
Gambia;GMB;Gambia;Republic of The Gambia;;
Germany;DEU;Germany;Federal Republic of Germany;German;
Georgia;GEO;;Republic of Georgia;;
Ghana;GHA;Ghana;Republic of Ghana;Ghanaian;
Greece;GRC;Greece;Hellenic Republic;Greek;
Guatemala;GTM;Guatemala;Republic of Guatemala;;
Guinea;GIN;Guinea;Republic of Guinea;Guinean;People's Revolutionary Republic of Guinea
Guyana;GUY;Guyana;Co-operative Republic of Guyana;;
Haiti;HTI;Haiti;;;
Honduras;HND;Honduras;Republic of Honduras;;
Hungary;HUN;Hungary;Republic of Hungary;Hungarian;
Iceland;ISL;Iceland;;Icelandic;
India;IND;India;;Indonesian;
Indonesia;IDN;Indonesia;Republic of Indonesia;Indonesian;
Ireland;IRL;Ireland;;Irish;
Israel;ISR;Israel;;Israeli;
Italy;ITA;Italy;Italian Republic;Italian;
Japan;JPN;Japan;;Japanese;
Jordan;JOR;Jordan;Hashemite Kingdom of Jordan;Jordanian;
Kazakhstan;KAZ;Kazakhstan;Republic of Kazakhstan;Kazakhstani;
Kenya;KEN;Kenya;Republic of Kenya;Kenyan;
Korea, Republic (South);KOR;South Korea;Republic of Korea;Korean;
Kyrgyzstan;KGZ;;Kyrgyz Republic;;
Latvia;LVA;Latvia;Republic of Latvia;;
Lithuania;LTU;Lithuania;Republic of Lithuania;Lithuania;
Luxembourg;LUX;Luxembourg;;Luxembourg;
Macedonia;MKD;;Macedonia, former Yugoslav Republic of;Macedonian;
Madagascar;MDG;Madagascar;Republic of Madagascar;Malagasy;Democratic Republic of Madagascar
Malaysia;MYS;Malaysia;;Malaysian;
Mali;MLI;Mali;Republic of Mali;Malian;
Mauritius;MUS;;;Mauritanian;
Mexico;MEX;Mexico;United Mexican States;Mexican;
Moldova;MDA;Moldova;Republic of Moldova;;
Mongolia;MNG;Mongolia;Republic of Mongolia;;
Morocco;MAR;Morocco;Kingdom of Morocco;;
Mozambique;MOZ;Mozambique;Republic of Mozambique;;
Namibia;NAM;Namibia;;;
Netherlands;NLD;Netherlands;;Dutch;
New Zealand;NZL;New Zealand;;New Zealand;
Nicaragua;NIC;Nicaragua;Republic of Nicaragua;Nicaraguan;
Niger;NER;Niger;Republic of Niger;Nigerien;
Nigeria;NGA;Nigeria;Federal Republic of Nigeria;Nigerian;
Norway;NOR;Norway;;Norwegian;
Oman;OMN;Oman;Sultanate of Oman;Omani;
Pakistan;PAK;Pakistan;Islamic Republic of Pakistan;;
Papua New Guinea;PNG;Papua New Guinea;Independent State of Papua New Guinea;;
Paraguay;PRY;Paraguay;Republic of Paraguay;;
Peru;PER;Peru;Republic of Peru;Peruvian;
Philippines;PHL;Philippines;Republic of the Philippines;;
Poland;POL;Poland;Republic of Poland;Polish;
Portugal;PRT;Portugal;;Portuguese;
Romania;ROM;Romania;;Romanian;
Russian Federation;RUS;Russia;;Russian;
Rwanda;RWA;;Republic of Rwanda;;
Saudi Arabia;SAU;Saudi Arabia;Kingdom of Saudi Arabia;Saudi Arabian;
Senegal;SEN;Senegal;Republic of Senegal;Senegalese;
Seychelles;SYC;;Republic of Seychelles;Seychelles;
Slovakia;SVK;Slovakia;Slovak Republic;Slovak;
Slovenia;SVN;Slovenia;Republic of Slovenia;Slovenian;
South Africa;ZAF;South Africa;Republic of South Africa;South African;
Spain;ESP;Spain;Kingdom of Spain;Spanish;
Sri Lanka;LKA;Sri Lanka;Democratic Socialist Republic of Sri Lanka;;
Sudan;SDN;Sudan;Republic of the Sudan;Sudanese;Republic of South Sudan
Swaziland;SWZ;;;;
Sweden;SWE;Sweden;;Swedish;
Switzerland;CHE;Switzerland;;;
Syrian Arab Republic;SYR;Syria;;;
Taiwan;TWN;Taiwan;;;
Tanzania;TZA;Tanzania;United Republic of Tanzania;;
Thailand;THA;Thailand;;;
Togo;TGO;Togo;Republic of Togo;Togolese;
Trinidad and Tobago;TTO;Trinidad & Tobago;Republic of Trinidad & Tobago;;
Tunisia;TUN;Tunisia;Republic of Tunisia;;
Turkey;TUR;Turkey;Republic of Turkey;Turkish;
Turkmenistan;TKM;;;;
Uganda;UGA;Uganda;Republic of Uganda;;
Ukraine;UKR;Ukraine;;Ukrainian;
United Arab Emirates;ARE;UAE;;;
United Kingdom;GBR;United Kingdom;;British;
United States;USA;United States;United States of America;U.S.;
Uruguay;URY;Uruguay;Oriental Republic of Uruguay;;
Uzbekistan;UZB;;Republic of Uzbekistan;;
Venezuela;VEN;Venezuela;Republic of Venezuela;Venezuelan;Bolivarian Republic of Venezuela
Vietnam;VNM;Vietnam;;;
Zambia;ZMB;Zambia;;;
Zimbabwe;ZWE;Zimbabwe;Republic of Zimbabwe;Zimbabwean;
